索引,Method分类,SSOT对象,Method标准状态,来源定位,Runtime对应与依据,校准结论,差异或边界,建议下一步,实际业务实例核验,评审结论
I11,Reference,Company Mission,To Define,https://tokenking.feishu.cn/base/JsnFbPEKja6opssiklecQ7UlnCb?table=tbl3A3TLpW6UrLTh&record=rec28cqIwUekwb,未见该公司级 Reference 的专用契约；T01/T02,待业务收口,Method 为 To Define；不同于 Method Mission,由业务 Owner 提供权威内容、版本与维护机制,未核验企业真实实例,待评审
I12,Reference,Company Vision,To Define,https://tokenking.feishu.cn/base/JsnFbPEKja6opssiklecQ7UlnCb?table=tbl3A3TLpW6UrLTh&record=rec28cqIwUekGv,未见该 Reference 专用契约；T01/T02,待业务收口,Method 为 To Define；不能从 Strategy 自动生成事实,先确认场景必要性与来源,未核验企业真实实例,待评审
I13,Reference,Values / Company Principles,To Define,https://tokenking.feishu.cn/base/JsnFbPEKja6opssiklecQ7UlnCb?table=tbl3A3TLpW6UrLTh&record=rec28cqIwUekQZ,证据存储可保留来源，非完整 Reference；T07,待业务收口,Method 为 To Define,选当前需要的原则及权威来源,未核验企业真实实例,待评审
I14,Reference,Business Model,To Define,https://tokenking.feishu.cn/base/JsnFbPEKja6opssiklecQ7UlnCb?table=tbl3A3TLpW6UrLTh&record=rec28cqIwUel1X,未见该 Reference 专用契约；T01/T02,待业务收口,Method 为 To Define；schema 不能代替业务定义,明确有效商业模式及维护责任,未核验企业真实实例,待评审
I15,Reference,Customer Definition / Segmentation,To Define,https://tokenking.feishu.cn/base/JsnFbPEKja6opssiklecQ7UlnCb?table=tbl3A3TLpW6UrLTh&record=rec28cqIwUelcz,未见该 Reference 专用契约；T01/T02,待业务收口,Method 为 To Define；不等同客户名单,明确分群定义、边界及权威版本,未核验企业真实实例,待评审
I16,Reference,Stable Organization / Decision Right Definition,Partial,https://tokenking.feishu.cn/base/JsnFbPEKja6opssiklecQ7UlnCb?table=tbl3A3TLpW6UrLTh&record=rec28cqIwUelKq,当前任职和动作授权可复用；T01/T14,待业务收口,Reference Partial；任职配置不等于完整经营责任定义,对齐业务角色定义与授权执行，不自动授予权限,未核验企业真实实例,待评审
I17,Reference,Stable Product / Service Definition,Partial,https://tokenking.feishu.cn/base/JsnFbPEKja6opssiklecQ7UlnCb?table=tbl3A3TLpW6UrLTh&record=rec28cqIwUelWm,证据/对象引用仅提供基础承载；T06/T07,待业务收口,Reference Partial；具体权威内容未核实,按实际消费选择产品/服务定义,未核验企业真实实例,待评审
I18,Reference,Policy / Compliance / Financial Definition,Partial,https://tokenking.feishu.cn/base/JsnFbPEKja6opssiklecQ7UlnCb?table=tbl3A3TLpW6UrLTh&record=rec28cqIwUem7H,版本证据仅提供基础承载；T07,待业务收口,Reference Partial；不自行推导有效业务口径,有需要时核对提供方、有效性与适用范围,未核验企业真实实例,待评审
I19,Business Artifact,Company Period Review,Defined,https://tokenking.feishu.cn/base/JsnFbPEKja6opssiklecQ7UlnCb?table=tbl4YtIVcTnP29MO&record=rec28cqIwUb1Gw,PeriodReview / state_refs；T02/T03,可复用（部分）,C07/O05：canonical State复用且无需审批；不生成第二套RAG,验证 Result/Why/Implication 的真实分析质量,未核验企业真实实例,待评审
I20,Business Artifact,Work Package,Defined,https://tokenking.feishu.cn/base/JsnFbPEKja6opssiklecQ7UlnCb?table=tbl4YtIVcTnP29MO&record=rec28cqIwUb1OD,0.3 后续边界；T01,未覆盖,C09：业务产物而非自动新增 Anchor,先明确可执行输入、输出、验收及权限,未核验企业真实实例,待评审
I21,Business Artifact,War Map,Partial,https://tokenking.feishu.cn/base/JsnFbPEKja6opssiklecQ7UlnCb?table=tbl4YtIVcTnP29MO&record=rec28cqIwUb21J,dashboard 关系/字段投影；T10/T12,可复用（部分）,C01/C05：视图非新SSOT；结构口径需调整,以正式版本生成投影，不复制业务定义,未核验企业真实实例,待评审
I22,Business Artifact,Staffing / Capacity,Partial,https://tokenking.feishu.cn/base/JsnFbPEKja6opssiklecQ7UlnCb?table=tbl4YtIVcTnP29MO&record=rec28cqIwUb26R,未见完整该配置契约；T01,未覆盖,业务产物/运行配置；不能因有任职表就认定覆盖,先验证跨工作协作需要，不预建独立生命周期,未核验企业真实实例,待评审
I23,Business Artifact,Research Result / Deep Research,Partial,https://tokenking.feishu.cn/base/JsnFbPEKja6opssiklecQ7UlnCb?table=tbl4YtIVcTnP29MO&record=rec28cqIwUb2et,ResearchReport / EvidenceAsset；T17/T18/T07,需契约调整,C03：有持久研究产物，现有流程更固定；Method质量标准仍Partial,按需产物与Issue关联，补专业质量验证,未核验企业真实实例,待评审
I24,Business Artifact,Research Task,To Define,https://tokenking.feishu.cn/base/JsnFbPEKja6opssiklecQ7UlnCb?table=tbl4YtIVcTnP29MO&record=rec28cqIwUb2jU,研究指派、Memo/Plan；T17/T18,待业务收口,C03：有旧链专用能力，不等同通用新研究任务；To Define,仅对实际研究/补证动作定义最小交接,未核验企业真实实例,待评审
I25,Business Artifact,Evidence Action,To Define,https://tokenking.feishu.cn/base/JsnFbPEKja6opssiklecQ7UlnCb?table=tbl4YtIVcTnP29MO&record=rec28cqIwUb2rz,证据上传/引用不能代替补证任务；T07,待业务收口,Method To Define；不等同 EvidenceAsset,明确是否需独立标准与真实下游消费,未核验企业真实实例,待评审
I26,Business Artifact,Portfolio / Composition Analysis,To Define,https://tokenking.feishu.cn/base/JsnFbPEKja6opssiklecQ7UlnCb?table=tbl4YtIVcTnP29MO&record=rec28cqIwUb2wL,CandidateSet/opinion dispositions；T03,待业务收口,部分共同核对产物，非已定义的通用组合分析,按 M1B/M2 当前流程核定质量与消费,未核验企业真实实例,待评审
I27,Business Artifact,Judgment,Open Classification,https://tokenking.feishu.cn/base/JsnFbPEKja6opssiklecQ7UlnCb?table=tbl4YtIVcTnP29MO&record=rec28cqIwUb2E2,StrategicJudgment；T17/T18,需契约调整,C03：新 M1A 不用独立 Judgment；其他方法分类仍开放,保留旧协议产物；新 M1A 不默认沿用该正式对象,未核验企业真实实例,待评审
I28,Business Artifact,Agreement,Defined for M1-A,https://tokenking.feishu.cn/base/JsnFbPEKja6opssiklecQ7UlnCb?table=tbl4YtIVcTnP29MO&record=rec28cqIwUb2Jd,StrategicAgreement；T17/T18,需契约调整,C04：当前 CEO 确认依赖正式纪要；新版共同结论不要求独立 Judgment,明确参与者、共同确认及写回范围,未核验企业真实实例,待评审
I29,Business Artifact,Decision / Confirmation / Review Decision / Disposition,Partial,https://tokenking.feishu.cn/base/JsnFbPEKja6opssiklecQ7UlnCb?table=tbl4YtIVcTnP29MO&record=rec28cqIwUb2QF,动作、ReviewRecord、场景确认；T01/T04/T18,可复用（部分）,按各自方法/场景解释，不能重新引入 M1A 立项 Gate,逐动作核对效力；通用名称不统一扩权,未核验企业真实实例,待评审
I30,Evidence / Runtime Record,Actual Result,Partial,https://tokenking.feishu.cn/base/JsnFbPEKja6opssiklecQ7UlnCb?table=tbl7myMbBr1y3hYZ&record=rec28cqIwUbfPK,BusinessFact + EvidenceAsset；T03/T07,可复用（部分）,只提供部分事实与证据承载，非完整业务结果系统,保持 Fact/Interpretation 分离及观察时点,未核验企业真实实例,待评审
I31,Evidence / Runtime Record,Business Fact,Partial,https://tokenking.feishu.cn/base/JsnFbPEKja6opssiklecQ7UlnCb?table=tbl7myMbBr1y3hYZ&record=rec28cqIwUbg1P,BusinessFact 记录/修正；T03,可复用（部分）,已有版本化事实能力，外部生产覆盖未核实,以真实来源验证纠正链与读取,未核验企业真实实例,待评审
I32,Evidence / Runtime Record,Customer / Usage Fact,Partial,https://tokenking.feishu.cn/base/JsnFbPEKja6opssiklecQ7UlnCb?table=tbl7myMbBr1y3hYZ&record=rec28cqIwUbgcb,事实/证据通用能力；T03/T07,可复用（部分）,未验证客户/用量连接器及口径,由来源方确认事实含义和访问范围,未核验企业真实实例,待评审
I33,Evidence / Runtime Record,External Signal / Event,Partial,https://tokenking.feishu.cn/base/JsnFbPEKja6opssiklecQ7UlnCb?table=tbl7myMbBr1y3hYZ&record=rec28cqIwUbgnS,Signal / source_refs；T17,可复用（部分）,有来源记录，不是战略决定；自动感知未在本轮核实,接真实来源，保留时间/来源/去重关系,未核验企业真实实例,待评审
I34,Evidence / Runtime Record,Execution Evidence,Partial,https://tokenking.feishu.cn/base/JsnFbPEKja6opssiklecQ7UlnCb?table=tbl7myMbBr1y3hYZ&record=rec28cqIwUbgyn,EvidenceAsset；T07,可复用（部分）,保存证据不表示执行完成或验收成功,关联真实结果和所用版本，不借用旧A3完成语义,未核验企业真实实例,待评审
I35,Evidence / Runtime Record,Experiment / Validation Result,Partial,https://tokenking.feishu.cn/base/JsnFbPEKja6opssiklecQ7UlnCb?table=tbl7myMbBr1y3hYZ&record=rec28cqIwUbgL8,BusinessFact / EvidenceAsset；T03/T07,可复用（部分）,有基础载体，实验语义及完整覆盖未定义,明确实验条件、结果和判读边界,未核验企业真实实例,待评审
I36,Evidence / Runtime Record,Risk / Dependency / Constraint Evidence,Partial,https://tokenking.feishu.cn/base/JsnFbPEKja6opssiklecQ7UlnCb?table=tbl7myMbBr1y3hYZ&record=rec28cqIwUbgUh,State / Problem 的依据引用；T02/T07,可复用（部分）,风险解释不等同已发生事实；来源仍需核验,分别保存事实和判断，按对象基准消费,未核验企业真实实例,待评审
I37,Evidence / Runtime Record,Version / Version History,Partial,https://tokenking.feishu.cn/base/JsnFbPEKja6opssiklecQ7UlnCb?table=tbl7myMbBr1y3hYZ&record=rec28cqIwUbh3z,不可变 revision/state event；T15,可复用（部分）,版本机制已有；新业务身份/生命周期映射仍需确定,保留精确引用及协议绑定,未核验企业真实实例,待评审
I38,Evidence / Runtime Record,StepExecution,To Define,https://tokenking.feishu.cn/base/JsnFbPEKja6opssiklecQ7UlnCb?table=tbl7myMbBr1y3hYZ&record=rec28cqIwUbhft,MethodRun / step attempts；T09,可复用（部分）,Method To Define；不等同模型/工具全量Trace,核对步骤身份、状态与输入输出关联,未核验企业真实实例,待评审
I39,Evidence / Runtime Record,Handoff / Routing,Partial,https://tokenking.feishu.cn/base/JsnFbPEKja6opssiklecQ7UlnCb?table=tbl7myMbBr1y3hYZ&record=rec28cqIwUbhtw,handoff 读取/场景分流；T06/T11,可复用（部分）,不表示真实消息已送达或接收人已承诺,区分分流、送达、接受及正式效果,未核验企业真实实例,待评审
I40,Evidence / Runtime Record,Provenance,Partial,https://tokenking.feishu.cn/base/JsnFbPEKja6opssiklecQ7UlnCb?table=tbl7myMbBr1y3hYZ&record=rec28cqIwUbhEl,source refs / audit / Context；T06/T15,可复用（部分）,有分段机制，跨系统贯通Trace未验证,以来源片段到输出/回执真实链检验,未核验企业真实实例,待评审
I41,Evidence / Runtime Record,Meeting Record,Partial,https://tokenking.feishu.cn/base/JsnFbPEKja6opssiklecQ7UlnCb?table=tbl7myMbBr1y3hYZ&record=rec28cqIwUbhPj,meeting_material / meeting_publish；T04/T05,可复用（部分）,C11：当前需业务锚点；普通会议来源尚需设计,沿本次会议样本定义授权与原话定位,未核验企业真实实例,待评审
I42,Evidence / Runtime Record,Confirmation Record,Partial,https://tokenking.feishu.cn/base/JsnFbPEKja6opssiklecQ7UlnCb?table=tbl7myMbBr1y3hYZ&record=rec28cqIwUbhZs,ReviewRecord / 场景记录/回执；T01/T04/T15,可复用（部分）,场景确认不等同正式决定；无权主体不能代确认,绑定对象、版本、主体及确认范围,未核验企业真实实例,待评审
I43,Evidence / Runtime Record,Notification,To Define,https://tokenking.feishu.cn/base/JsnFbPEKja6opssiklecQ7UlnCb?table=tbl7myMbBr1y3hYZ&record=rec28cqIwUbiaz,Outbox/分流相关机制；T15/T11,可复用（部分）,Method To Define；不证明外部送达，伙伴负责通知,明确待发送/送达的证据及负责系统,未核验企业真实实例,待评审
I44,Evidence / Runtime Record,Re-open Trigger,Partial,https://tokenking.feishu.cn/base/JsnFbPEKja6opssiklecQ7UlnCb?table=tbl7myMbBr1y3hYZ&record=rec28cqIwUbijk,窗口重开、战略影响及状态事件；T03/T18,可复用（部分）,专用动作可复用；新 M1A return 不等于旧 completed 重开,区分补证、重新界定、版本冲突和新周期,未核验企业真实实例,待评审
